Constituency Name,Winner Party,Winner Votes,Runner Party,Runner Votes,Total Votes Polled,Win Alliance
Ariyalur,DMK,103975,ADMK,100741,225225,DMK+
Jayankondam,DMK,99529,PMK,94077,216368,DMK+
Tittakudi,DMK,83726,BJP,62163,168184,DMK+
Vriddhachalam,INC,77064,PMK,76202,196734,DMK+
Neyveli,DMK,75177,PMK,74200,164130,DMK+
Panruti,DMK,93801,ADMK,89104,197049,DMK+
Cuddalore,DMK,84563,ADMK,79412,182001,DMK+
Kurinjipadi,DMK,101456,ADMK,83929,198781,DMK+
Bhuvanagiri,ADMK,96453,DMK,88194,197165,DMK+
Chidambaram,ADMK,91961,IUML,75024,183352,DMK+
Kattumannarkoil,VCK,86056,ADMK,75491,175561,DMK+
Sirkazhi,DMK,94057,ADMK,81909,191325,DMK+
Mayiladuthurai,INC,73642,PMK,70900,174640,DMK+
Poompuhar,DMK,96102,ADMK,92803,207838,DMK+
Nagapattinam,VCK,66281,ADMK,59043,143560,DMK+
Kilvelur,CPI(M),67988,PMK,51003,142995,DMK+
Vedaranyam,ADMK,78719,DMK,66390,158060,DMK+
Thiruthuraipoondi,CPI,97092,ADMK,67024,185886,DMK+
Mannargudi,DMK,87172,ADMK,49779,193229,DMK+
Thiruvarur,DMK,108906,ADMK,57732,208290,DMK+
Nannilam,ADMK,103637,DMK,99213,221944,DMK+
Thiruvidaimarudur,DMK,95763,ADMK,85083,198446,DMK+
Kumbakonam,DMK,96057,ADMK,74674,197564,DMK+
Papanasam,DMK,86567,ADMK,70294,196982,DMK+
Thiruvaiyaru,DMK,103210,BJP,49560,211430,DMK+
Thanjavur,DMK,103772,ADMK,56623,194859,DMK+
Orathanadu,ADMK,90063,DMK,61228,191840,DMK+
Pattukkottai,DMK,79065,ADMK,53796,177200,DMK+
Peravurani,DMK,89130,ADMK,65627,170850,DMK+
Gandarvakkottai,CPI(M),69710,ADMK,56989,157620,DMK+
Viralimalai,ADMK,102179,DMK,78581,193423,DMK+
Pudukkottai,DMK,85802,ADMK,72801,179892,DMK+
Thirumayam,DMK,71349,ADMK,69967,174031,DMK+
Alangudi,DMK,87935,ADMK,62088,171842,DMK+
Aranthangi,INC,81835,ADMK,50942,168048,DMK+
Karaikudi,INC,75954,BJP,54365,212456,DMK+
Tiruppattur,DMK,103682,ADMK,66308,210766,DMK+
Sivaganga,ADMK,82153,CPI,70900,202044,DMK+
Manamadurai,DMK,89364,ADMK,75273,203061,DMK+
Melur,ADMK,83344,INC,48182,182782,DMK+
Madurai East,DMK,122729,ADMK,73125,237892,DMK+
Sholavandan,DMK,84240,ADMK,67195,175361,DMK+
Madurai North,DMK,73010,BJP,50094,156556,DMK+
Madurai South,DMK,62812,ADMK,56297,147833,DMK+
Madurai Central,DMK,73205,ADMK,39029,149430,DMK+
Madurai West,ADMK,83883,DMK,74762,201694,DMK+
Thiruparankundram,ADMK,103683,CPI(M),74194,235849,DMK+
Thirumangalam,ADMK,100338,DMK,86251,220495,DMK+
Usilampatti,ADMK,71255,DMK,63778,212513,DMK+
Andipatti,DMK,93541,ADMK,85003,209540,DMK+
Periyakulam,DMK,92251,ADMK,70930,201797,DMK+
Bodinayakanur,ADMK,100050,DMK,89029,214795,DMK+
Cumbum,DMK,104800,ADMK,62387,202275,DMK+
Rajapalayam,DMK,74158,ADMK,70260,178708,DMK+
Srivilliputhur,ADMK,70475,INC,57737,185039,DMK+
Sattur,DMK,74174,ADMK,62995,191783,DMK+
Sivakasi,INC,78947,ADMK,61628,185047,DMK+
Virudhunagar,DMK,73297,BJP,51958,161717,DMK+
Aruppukkottai,DMK,91040,ADMK,52006,171201,DMK+
Tiruchuli,DMK,102225,ADMK,41233,172811,DMK+
Paramakudi,DMK,84864,ADMK,71579,182158,DMK+
Tiruvadanai,INC,79364,ADMK,65512,201815,DMK+
